,text
0,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>ÖSYS'de özürlü öğrenci kontenjanı var mıdır?[/INST] Yurdumuzda bulunan yükseköğretim kurumlarına giriş, 2547 sayılı Yükseköğretim Kanununun 2880 sayılı Kanunla değişik 45. maddesinde belirtilen ve Öğrenci Seçme ve Yerleştirme Merkezi Başkanlığınca yapılan sınava katılıp başarılı olunduğu takdirde mümkün olabilmektedir. Öğrenci Seçme Sınavlarında özürlülere yönelik yerleştirmelerde özürlü kontenjanı bulunmamaktadır. Yükseköğretim programlarının koşul ve açıklamaları, her yıl hazırlanan ""Yükseköğretim Programları ve Kontenjanları Kılavuzu""nda yayınlanmakta olup, söz konusu kılavuza  http://www.osym.gov.tr"" web sitesinden ulaşarak incelemeniz yararınıza olacaktır.</s>"
1,<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Meslek Yüksekokulu öğrencileri programdan faydalanabilecekler mi?[/INST] Evet</s>
2,<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Bologna Eşgüdüm Komisyonu ile ilgili hangi bilgileri YÖK'e göndermemiz gerekiyor?[/INST] Üniversitenizin Bologna Eşgüdüm Komisyonu başkanı ve üyelerinin isimleri ve iletişim bilgilerini YÖK A.B. ve Uluslararası İlişkiler Birimi'ne resmi yazı yoluyla ulaştırmanız gerekmektedir.</s>
3,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Türkiye Bologna Sürecine üye olduğu için, bir T.C vatandaşının Avrupa'da Bologna Sürecine üye diğer ülkelerdeki Yükseköğretim kurumlarından aldığı diplomayı YÖK'ün doğrudan tanıması gerekmez mi?[/INST] Hayır. Bologna Süreci doğrudan tanınmayı amaçlayan bir süreç değildir. Sürece dahil her ülkenin diplomaların tanınmasıyla ilgili kendi ulusal prosedürleri vardır ve Türkiye'de de tanınma için YÖK denklik birimi tarafından açıklanan prosedürler geçerlidir. Bologna Sürecine üye olmak bu konuda farklı bir uygulama gerektirmemektedir.</s>"
4,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Erasmus programıyla yurtdışına gitmek istiyorum. Sizden bu konuda bilgi alabilir miyim?[/INST] Erasmus'un da dahil olduğu Avrupa Birliği Eğitim ve Gençlik Programlarının uygulanması kısa adı Ulusal Ajans olan http://www.ua.gov.tr Avrupa Birliği Eğitim ve Gençlik Programları Merkezi Başkanlığı tarafından yürütülmektedir. Bu konuyla ilgili her türlü soru, sorun ve öneriyi kendilerine iletebilirsiniz.</s>"
5,<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Üniversitemizdeki BEK (Bologna Eşgüdüm Komisyonu) Komisyonu üyesi değişti. Yeni üyeyi nereye bildirelim?[/INST] Üniversitelerdeki BEK üyeleri ile ilgili isim ve irtibat bilgisi değişikliklerini aib@yok.gov.tr adresine bildirebilirsiniz</s>
6,<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Avrupa Üniversiteler Birliği (EUA)'ne üye olmak istiyoruz. Bu konuda bize yardımcı olabilir misiniz?[/INST] Bu konuda EUA tarafından üniversitelerden istenen destek mektubu (support letter) üniversitelerin talebi üzerine Başkanlığımız tarafından hazırlanmaktadır.</s>
7,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Yabancı dil eşdeğerlilik belgemi onaylıyor musunuz?[/INST] Hayır, YÖK yabancı dil eşdeğerlilik belgelerini onaylamıyor. http://www.yok.gov.tr/content/view/709/266/ sayfasından şu ana kadar YÖK tarafından yayınlanan eşdeğerlilik tablolarına ulaşabilirsiniz. Ayrıca bu konu artık ÖSYM'ye devredilmiştir.</s>"
8,<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Başvurular şahsimi üniversite aracılığıylamı ?[/INST] Başvurular Rektörlükler aracılığıyla yapılmaktadır.</s>
9,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>YÖK'teki işlemlerim ne kadar sürüyor?[/INST] Başvuru evraklarının cevabı, Başkanlığımıza ulaştıktan sonra (Yürütme Kurulu'nun toplanamaması, evraklarda eksiklik olması vb durumlar hariç) en geç 2 hafta içerisinde ilgili üniversiteye gönderilmektedir.</s>"
10,<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>50d kadrosunda araştırma görevlisiyim. Burstan faydalanabiliyor muyum?[/INST] Hayır. 2547 sayılı Kanun'un 33. maddesi uyarınca araştırma görevlisi kadrosunda çalışıyor olmak gerekmektedir.</s>
11,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>YÖK'ün lisansüstü eğitim için belirlemediği üniversitelerden birinden kabul alsak gidebiliyor muyuz?[/INST] Yürütme Kurulu'nun 09.09.2009 tarihli kararında belirtilen ""Yükseköğretim Kurulunca uygun görülen yurtdışındaki üniversitelerden lisansüstü bir programa kesin kabul belgesi sağlamış olmak"" şartını sağlamadığı ancak, ""Bu liste dışındaki bir üniversitenin bölümü için talep yapılması halinde, bu bölümün listeye alınması için gerekli belgelerin talep eden üniversite tarafından hazırlanması ve Kurulumuzca onayı gerekmektedir."" hükmü uyarınca değerlendirilecektir.</s>"
12,<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Başvurular ne zaman alınıyor?[/INST] Başvurular için belirlenmiş bir tarih aralığı yoktur. İstediğiniz zaman başvurabilirsiniz. Yapılan başvurular YÖK Yürütme Kurulu'nda görüşülmektedir.</s>
13,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Kabul mektubunun bir formatı varmı?[/INST] Kabul mektubunun; çalışmanın konusu ve yapılacağı tarihi içermesi, antetli ve imzalı olması gerekmektedir.</s>"
14,<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Süre uzatımı yapılabiliyormu?[/INST] Usul ve esaslarda belirtilen süreler dahilinde uzatma yapılabilir. Belirtilen sürelerden daha fazla uzatma işlemleri rektörlük yetkisindedir.</s>
15,<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Çalışma planının bir formatı varmı?[/INST] Çalışma planının belirli bir formatı yoktur.</s>
16,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Yurt dışında gideceğimiz üniversiteyi kendimiz mi seçiyoruz?[/INST] Evet, gideceğiniz üniversiteyi kendiniz seçmeniz ve kabul almanız gerekmektedir.</s>"
17,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Başvurular ne zaman/ nereye yapılıyor?[/INST] Kontenjanlar açıklandığında, http://www.osym.gov.tr ÖSYM'nin resmi internet sitesi üzerinden başvuruda bulunuluyor. Yerleştirmeler ALES puanına göre yapılıyor.</s>"
18,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Bu bursa başvuru işlemleri için gerekli şartlar nelerdir?[/INST] Kimlerin başvuruda bulunabileceği her yıl açıklanan kılavuzda ilan edilmektedir.Lisans not ortalamanızın 4 üzerinden 2,75 ya da 100 üzerinden en az 70 puan olması gerekmektedir. ALES puanınızın da (istenen puan türünden) en az 70 olması gerekmektedir.</s>"
19,<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Bu bursa başvuruda bulunabilmek için yabancı dil şartı var mı?[/INST] Dil puanı olmayanlar da bu burstan faydalanma hakkını elde eder.</s>
20,<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Okul tanıma yazısını ne kadar sürede alabilirim?[/INST] Okul tanınması ile ilgili dilekçeler resmi süresi (en geç 15 gün) içerisinde cevaplanmaktadır.</s>
21,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Denklik müracaatında bulundum,yüksek lisansımı tezsiz yaptım ne yapacağım?[/INST] Yüksek lisansınızı tezsiz yaptığınıza dair dilekçe yazıp başvurunuza ekleyebilirsiniz.</s>"
22,<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Bulgaristan Mezunu olan kişiler geçici mezuniyet belgesi ile denklik başvurusu yapabilirlermi?[/INST] Bulgaristan mezunları geçici mezuniyet belgesi ile başvuru yapamazlar. Diploma ve diploma eki olmak zorundadır.</s>
23,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Askerlik tecili yaptırmam lazım, denklik işlemlerimin devam ettiğine dair yazı istediler, nasıl edinebilirim?[/INST] Kurulumuza gerekçenizi belirten bir dilekçe ile başvurup (elden ya da posta yoluyla) resmi yazı talebinde bulunabilirsiniz.</s>"
24,<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Yüksek Lisans Denklik belgemi aldım ama denklik belgemde not ortalamam yok. Yurtdışındaki not ortalamamın yurtiçi notuna dönüştürülmesi için (dönüşüm hesaplanması) için ne yapmam gerekli nerden yaptırabilirim. Bilgi almak istiyorum?[/INST]  Doktora başvurusunda bulunacağı üniversite tarafından not ortalamasının değerlendirilmesi gerekmektedir. Denklik Birimi tarafından not eşdeğerliliği yapılmamaktadır.</s>
25,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Okul tanıma bilgisi için dilekçe gönderdim, henüz cevap gelmedi, ne zaman gelir?[/INST] Dilekçeler PTT yoluyla adreslere gönderilmekte olduğundan, 10 iş günü içerisinde tarafınıza teslim edilecektir.</s>"
26,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Okulumuz yeni kuruldu, YÖK tarafından tanınsın istiyoruz, ne yapmalıyız?[/INST] Üniversitenizin İlgili Ülke Eğitim Makamlarınca akreditasyon aldığına dair belge, üniversitenizin tanıtım katalogları ve tanınma isteğinizi içeren resmi bir yazıyı Dışişleri Bakanlığımız aracılığıyla Kurulumuza göndermeniz gerekmektedir.</s>"
27,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>KKTC mezunuyum, denklik yaptırmam gerekli mi?[/INST] Başvuruda Bulunmayacak Kişiler: Şubat 2012 mezunlarında itibaren diploma arkalarında ÖSS ile yerleştiğine dair kaşe okul tarafından basılmış ise Kurumumuza denklik müracaatında bulunmaları gerekmemektedir.Başvuruda Bulunması Gerekenler: *Okula özel yetenekle yerleşenler*KKTC vatandaşı olanlar*Yüksek Lisans Başvuruları*Girne Amerikan Üniversitesinin Türk Dili ve Edebiyatı Öğretmenliği*Yakın Doğu Tarih Öğretmenliği mezunları*Şubat 2012 öncesi mezunun kişiler</s>"
28,<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>KKTC Protokolü denklik yerine geçer mi?[/INST] Protokol yazısı verilen ilgililerin denklik işlemi yaptırmasına gerek yoktur. (ÖSYM tarafından yerleşerek gidenler için)</s>
29,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Acilen denklik belgemi almam gerekiyor, yurtdışındayım/farklı şehirdeyim gelemiyorum, kargoya verebilir misiniz?[/INST] Denklik belgeleri kargoya verilememektedir. Kurulumuzca PTT yoluyla iadeli taahhütlü olarak yurtiçi veya yurtdışı adresinize gönderilmektedir</s>"
30,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>ÖSYM yerleştirme belgem yok, kendi imkânlarımla gittim, denklik belgesi alabilir miyim?[/INST] Kurulumuza yapılandenklik başvuruları  Yurtdışı Yükseköğretim Diplomaları Denklik Yönetmeliği hükümlerine göre incelenmektedir. Belgeleriniz denklik başvurusu yaptıktan sonra ilgili mevzuat hükümlerine göre incelenip, alınacak karar tarafınıza tebliğ edilcektir.</s>"
31,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Seviye Tespit Sınavı nedir?[/INST] Yurtdışı Yükseköğretim Diplomaları Denklik Yönetmeliği uyarınca; mezun olunan lisans programının eğitim düzeyi ve içeriğinin yeterli bulunmaması durumunda, başvuru sahibi usul ve esasları Kurul tarafından belirlenen seviye tespit sınavına tabi tutulur.</s>"
32,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Herkes Seviye Tespit Sınavına Girmek Zorunda mı?[/INST] Yurtdışı Yükseköğretim Diplomaları Denklik Yönetmeliği uyarınca her bölüme STS kararı çıkabilir ancak genel olarak Tıp Doktorluğu, Diş Hekimliği, Mühendislik alanları ve Öğretmenlik alanlarında  STS kararı çıkmaktadır.</s>"
33,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Hangi ülkeden mezun olanlara STS uygulanmaktadır?[/INST] Yurtdışı Yükseköğretim Diplomaları Denklik Yönetmeliği hükümleri uyarınca Hukuk,T ıp Doktorluğu, Diş Hekimliği, Mühendislik ve Öğretmenlik alanında hangi ülkelerden alınan diplomaların denklik işleminin seviye tespit sınavında başarılı olma şartı aranmadan yapılacağı Genel Kurul tarafından belirlenerek resmi internet sitesinde ilan edilir.</s>"
34,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Hangi durumlarda denklik verilebilmesi için YDS'dan (Yabancı Dil Sınavı) başarılı olmam gerekmektedir?[/INST] KKTC dışındaki yurtdışı üniversitelerin Amerikan Kültürü ve Edebiyatı, Fransız Dili ve Edebiyatı, Alman Dili ve Edebiyatı, İngiliz Dili ve Edebiyatı, Rus Dili  ve Edebiyatı vb. programlarından ve Fransızca, İngilizce, Rusça, Almanca Öğretmenliği ile bu dillerin mütercim tercümanlık programlarından mezun olanların denklik işleminin yapılabilmesi için, mezun olunan program öğrenim görülen ülkenin anadilinden farklı ise YDS'da 70 ve üzeri puan almış olma şartı aranır. YDS dışında YDS eşdeğerliği bulunan sınavlar için Yabancı Dil Eşdeğerliği Tablosu'nu kontrol ediniz.</s>"
35,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Kırgızistan Türk Manas Üniversitesi örgün eğitim için denklik başvurusu yapmak gereklimidir?[/INST] Kırgızistan Türk Manas Üniversitesi örgün eğitim için denklik başvurusuna gerek yoktur. Denklik birimine başvuru yapıp diplomalarının geçerli olduğuna dair belge alınması yeterlidir. Başvuru yapmak için; Resmi bir dilekçe, Diploma ve Transkript fotokopisi gerekmektedir.</s>"
36,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Kazakistan Hoca Ahmet Yesevi Uluslararası Türk-Kazak Üniversitesi örgün eğitim için denklik başvurusu gereklimidir?[/INST] Kazakistan Hoca Ahmet Yesevi Uluslararası Türk-Kazak Üniversitesi örgün eğitim  için denklik başvurusuna gerek yoktur. Denklik birimine başvuru yapıp diplomalarının geçerli olduğuna dair belge alınması yeterlidir. Başvuru yapmak için; Resmi bir dilekçe, Diploma ve Transkript fotokopisi gerekmektedir.</s>"
37,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Kazakistan Hoca Ahmet Yesevi Uluslararası Türk-Kazak Üniversitesi uzaktan eğitim için denklik başvurusu gereklimidir?[/INST] Kazakistan Hoca Ahmet Yesevi Uluslararası Türk-Kazak Üniversitesi uzaktan eğitim  için denklik başvurusuna gerek yoktur. Denklik birimine başvuru yapıp diplomalarının geçerli olduğuna dair belge alınması yeterlidir. Kazakistan Hoca Ahmet Yesevi Uluslararası Türk-Kazak Üniversitesi uzaktan eğitim ön lisans ve yüksek lisans diplomaları  2007-2008 Eğitim-Öğretim yılından sonra başlanması şartıyla tanınmaktadır. 2007-2008 Eğitim-Öğretim yılından önceki alınan ön lisans ve yüksek lisans  diplomaları tanınmamaktadır. Uzaktan eğitim lisans programları   2009 Eğitim-Öğretim yılından sonra ÖSYM tarafından yerleştirme şartını sağladığınız takdirde tanınmaktadır. 2009 öncesi lisans diplomaları ile ilgili olarak  Kurulumuza Diploma ve Transkript fotokopileri, eğitime başlandığı yıla ait ÖSS veya DGS sonuç belgesi ve bir dilekçe ile başvurmanız halinde diplomaların  tanınıp tanınmadığına dair tarafınıza bilgi verilecektir.</s>"
38,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Kazakistan Hoca Ahmet Yesevi Uluslararası Türk-Kazak Üniversitesi uzaktan eğitim için denklik başvurusu gereklimidir?[/INST] Kazakistan Hoca Ahmet Yesevi Uluslararası Türk-Kazak Üniversitesi uzaktan eğitim  için denklik başvurusuna gerek yoktur. Denklik birimine başvuru yapıp diplomalarının geçerli olduğuna dair belge alınması yeterlidir. Kazakistan Hoca Ahmet Yesevi Uluslararası Türk-Kazak Üniversitesi uzaktan eğitim ön lisans ve yüksek lisans diplomaları  2007-2008 Eğitim-Öğretim yılından sonra başlanması şartıyla tanınmaktadır. 2007-2008 Eğitim-Öğretim yılından önceki alınan ön lisans ve yüksek lisans  diplomaları tanınmamaktadır. Uzaktan eğitim lisans programları   2009 Eğitim-Öğretim yılından sonra ÖSYM tarafından yerleştirme şartını sağladığınız takdirde tanınmaktadır. 2009 öncesi lisans diplomaları ile ilgili olarak  Kurulumuza Diploma ve Transkript fotokopileri, eğitime başlandığı yıla ait ÖSS veya DGS sonuç belgesi ve bir dilekçe ile başvurmanız halinde diplomaların  tanınıp tanınmadığına dair tarafınıza bilgi verilecektir.</s>"
39,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Askerlik şubesi ""işlemleri devam ediyor"" yazısını kabul etmiyor. Ne yapmalıyım?[/INST] Askerlik şubesinin adı, iletişim bilgileri, adınız - soyadınız  ve karşılaştığınız durumu anlatan ayrıntılı bir dilekçeyi Kurulumuza göndermeniz gerekmektedir.</s>"
40,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Denklik işlemi için belgeleri tamamladıktan sonra nereye müracaat edeceğim?[/INST] Elden: Yükseköğretim Kurulu Başkanlığı Denklik Birimi Müracaat Ofisi (B-2 Blok, Zemin Kat) - Bilkent / ANKARAPosta Yoluyla: Yükseköğretim Kurulu Başkanlığı Denklik Birimi, 06539 - Bilkent / ANKARA</s>"
41,<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Denklik işlemleri sonucu bana nasıl gönderilecektir?[/INST] Denklik işleminin kabulü ya da reddi halinde evrak asıllarının birer örneği dosyasında saklanmak üzere alındıktan sonra ilgilinin başvuru sırasında belirlediği tercih doğrultusunda elden ya da posta yolu ile teslim edilir.</s>
42,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Denklik belgemin üzerinde soyadım yanlış yazılmış, düzeltebilir miyiz?[/INST] Kurulumuza talebinizi içeren bir dilekçe ile başvurmanız halinde sehven yapılmış işlemler düzeltilebilmektedir.</s>"
43,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Evlendim, soyadım değişti, denklik belgem hangi soyadımla çıkacak?[/INST] Adınıza düzenlenen denklik belgesinin ön yüzünde diplomanızın üzerindeki kimlik bilgileriniz yer alacaktır. Arka yüzünde ise güncel kimlik bilgileriniz yer alacaktır. Kimlik bilgileri değişmeden önce denklik belgenizi teslim aldıysanız, Denklik belgesinin aslı, güncel kimlik bilgilerinizi gösteren belge ile Kurulumuza müracaat etmeniz halinde belge üzerinde gerekli değişiklikler yapılabilmektedir.</s>"
