source,concept,description
https://www.sebitvcloud.com/tr/yardim.jsp,Sebit VCloud nedir?,"Sebit VCloud; Türkiye’nin ilk “İş Birliğine Dayalı Yeni Nesil Eğitim Yönetim Sistemi”dir. Okulların tüm eğitsel, yönetsel ve üretime dayalı süreçlerini “Akademik Omurga” yapısında bütünleştiren ve tek bir noktadan yönetilmesini sağlayan kapsamlı bir eğitim çözümüdür. Bütünleşik bir süreç yönetimi olarak sunduğu toplam faydayla ve öğrenmenin okul sınırları dışında da kesintisiz devam etmesini sağlayan yapısıyla benzersizdir."
https://www.sebitvcloud.com/tr/yardim.jsp,Sebit VCloud’a Nasıl üye olunur?,Okulunuzun kurumsal üyeliği için 444 999 4 numaralı telefondan bizimle iletişime geçerek satış ekiplerimizden randevu alabilirsiniz.
https://www.sebitvcloud.com/tr/yardim.jsp,Sebit VCloud’u deneme şansımız var mı?,"Elbette, uzmanlarımız ürünü tanıtmak için ziyaretinize gelebilirler. Bunun için +90 (312) 292 62 62 numaralı telefondan randevu almanız yeterlidir."
https://www.sebitvcloud.com/tr/yardim.jsp,Sebit VCloud'un Ürün fiyatı nedir?,Kurumunuza özel Sebit VCloud fiyat teklifi sunabilmemiz için lütfen aşağıdaki formu doldurun.
https://www.sebitvcloud.com/tr/yardim.jsp,Sebit VCloud hangi sınıf seviyeleri içindir?,"4, 5, 6, 7, 8. Sınıf seviyeleri içindir."
https://www.sebitvcloud.com/tr/yardim.jsp,Sebit VCloud hangi platformları destekliyor?,"Ürün, bilgisayar ve/veya tabletinizdeki web tarayıcısı ya da Sebit VCloud Cep Uygulaması üzerinden kullanılabilir."
https://www.sebitvcloud.com/tr/yardim.jsp,Sebit VCloud MEB öğretim programıyla uyumlu mudur?,Yüzde 100 uyumludur. Öğretim programındaki tüm yenilikler derhal ürün içeriklerine yansıtılarak güncellenir.
https://www.sebitvcloud.com/tr/yardim.jsp,Sebit VCloud'da Kurumumuzun diğer okullarıyla aynı platformdan paylaşım yapabilir miyim?,"Evet, kurumunuzun diğer okullarıyla entegre çalışabilirsiniz."
https://www.sebitvcloud.com/tr/yardim.jsp,Ek Uygulamalar da Sebit VCloud üzerinde mi çalışıyor?,"Evet. Ek Uygulamalar, satın alımınız sonrası Sebit VCloud üzerinde çalışmaya başlar."
https://www.sebitvcloud.com/tr/yardim.jsp,Kendi soru havuzumu Sebit VCloud’a aktarabilir miyim?,"Evet, Sebit VCloud Soru Üretim Sistemi sayesinde, kendi soru havuzunuzu oluşturabilir, zenginleştirebilir ve  Sebit VCloud’a aktarabilirsiniz."
https://www.sebitvcloud.com/tr/yardim.jsp,Sebit V-Cloud'daki Öğretmenlerim için ek ücret ödemem gerekiyor mu?,"Hayır, Sebit VCloud üyesi okulların öğretmenleri için ayrıca ücret talep edilmez."
https://www.sebitvcloud.com/tr/yardim.jsp,Sebit VCloud’la okulumun bilgileri ne kadar güvendedir?,"Tüm kurumsal bilgileriniz Türk Telekom veri merkezlerinde, yüzde 100 güvenli bir şekilde saklanır."
