source,concept,description
https://www.vitaminegitim.com/ortaokul/sss.jsp,Vitamin LGS nedir?,"Vitamin LGS, öğrenciye sınavda çıkacak soruları çözebilmesi için gereken üst düzey becerileri kazandıran LGS hazırlık sistemidir. Vitamin LGS; binlerce beceri temelli yeni nesil soru ve çözüm videosu, adım adım ilerlemeyi sağlayan kişiye özel akıllı çalışma programı, eksikleri tamamlamaya yönelik yüzlerce etkileşimli öğretmen konu anlatımı, LGS ile yüksek benzerlikte deneme sınavları, performansı gösteren çalışma ve deneme sınavı raporları, öğrenciyi yönlendiren “Adım Kartları” ve LGS’ye hazırlıkta en çok tercih edilen soru bankalarını tek bir eğitim setinde sunar.Vitamin LGS öğrenciyi sınava eksiksiz hazırlar, hedefine ulaştırır."
https://www.vitaminegitim.com/ortaokul/sss.jsp,Vitamin LGS Kimler içindir?,"Vitamin LGS, LGS’ye hazırlanan tüm öğrenciler içindir."
https://www.vitaminegitim.com/ortaokul/sss.jsp,Vitamin LGS Kimin ürünüdür?,"Vitamin LGS, 30 yılı aşkın araştırma geliştirme deneyimiyle eğitim teknolojilerinde Türkiye’nin lider şirketi Sebit tarafından geliştirilmiştir. Aynı zamanda Vitamin Kitapları, Raunt, Sebit VCloud, Hızlıgo, Adaptive Curriculum, DinamikMAT gibi eğitim çözümlerinin de üreticisi olan Sebit, Türk Telekom’un yüzde yüz iştirakli grup şirketidir. Çalışmalarını Ankara ODTÜ Teknokent’teki yerleşkesinde 300’e yakın kişiden oluşan deneyimli ve donanımlı uzman kadrosuyla sürdürmektedir."
https://www.vitaminegitim.com/ortaokul/sss.jsp,Vitamin LGS içerikleri başka yerde var mıdır?,"Vitamin LGS’de sunulan içerik ve özellikler başka hiçbir yerde bulunmamaktadır. Binlerce beceri temelli yeni nesil soru ve çözüm videosu, kişiselleştirilmiş akıllı çalışma sistemi, yüzlerce etkileşimli öğretmen konu anlatımı, LGS ile yüksek benzerlikte deneme sınavları ile veli ve öğrenciler için performans takip raporları sadece Vitamin LGS’de bulabileceğiniz içerik ve özelliklerdir.Vitamin LGS ile birlikte ücretsiz sunulan Vitamin dijital içeriklerindeki bazı animasyon ve alıştırmalar EBA’da öğrencilerimizin kullanımına açıktır, bu durum içeriklerimizin tamamının EBA’da bulunduğuna dair yanlış anlaşılmalara yol açmaktadır. LGS’ye eksiksiz hazırlanmak için gereken sınav odaklı içerikler ve özelliklerin tamamı sadece Vitamin LGS’de bulunmaktadır."
https://www.vitaminegitim.com/ortaokul/sss.jsp,"Vitamin LGS, sınav sistemindeki değişikliklere uyum sağlıyor mu?","Akıllı sistemiyle Vitamin LGS, sınav sistemindeki değişikliklerden etkilenmeyecek kadar sağlam temeller üzerine kurgulandığından sınavlarda yapılan tüm yeni düzenlemeler anında ürüne yansıtılabilmektedir.Sınav kapsamı, açıklandıktan hemen sonra Vitamin LGS’nin konu anlatımlarına, test ve deneme sınavları sorularına uyarlanmaktadır. Konu hakkındaki bilgilendirmeler ise kullanıcılarımıza en doğru zamanlamayla iletilmektedir. Ayrıca her Ağustos ayında, en güncel LGS sınavı baz alınarak içeriklerimiz güncellenmektedir.Vitamin LGS kullanan tüm kullanıcılarımız, sınav sistemindeki değişikliklerden etkilenmeden çalışmalarına devam etmektedir. "
https://www.vitaminegitim.com/ortaokul/sss.jsp,Vitamin LGS öğrenciye ne sağlar?,"Vitamin LGS’de alanında uzman öğretmenler tarafından hazırlanan etkileşimli konu anlatımları, öğrencinin tıpkı bir öğretmenle ders işliyormuş gibi çalışarak konulardaki eksiklerini tamamlamasını sağlar. Ayrıca Vitamin LGS Deneme Sınavları öğrenciye gerçek sınav deneyimi yaşatır. Sunduğu ayrıntılı raporlarla öğrenci ve velinin kesintisiz performans takibi yapmasına olanak tanır.Matematik, Fen Bilimleri ve Türkçe dersleri için hazırlanan Adım Kartları, standart soru bankalarından farklı olarak her bir soruda verdiği cevaba göre öğrenciyi yönlendirir ve farklı tasarımıyla öğrencilerin kâğıt üzerinde soru çözme, çizim ve işlem yapma ihtiyacını karşılar. Ayrıca Vitamin LGS veya Vitamin LGS Cep Uygulaması’yla birlikte kullanılan Adım Kartları, kişiye özel yönlendirmeler yaparak öğrencinin konuları adım adım tamamlamasını sağlar. Vitamin LGS’nin basılı kaynakları sınava hazırlıkta en çok tercih edilen soru bankaları, ders denemeleri, kamp kitapları ve basılı deneme sınavlarından oluşur. Basılı kaynakların tamamı Vitamin LGS’nin akıllı sistemiyle uyumludur. Bu kitaplardaki her bir sorunun Vitamin LGS’ye özel, detaylı anlatımları içeren çözüm videoları sadece Vitamin LGS’de bulunur. Böylece öğrenci sınavda karşısına çıkabilecek tüm soru tiplerine hâkim olur.Öğrenciyi yalnız bırakmayan ve her adımında ona özel yönlendirmeler sunan bu eğitsel yaklaşım, herhangi bir yönlendirici olmaksızın öğrencinin adım adım hedefine ulaşmasını sağlar."
https://www.vitaminegitim.com/ortaokul/sss.jsp,Vitamin LGS’nin diğer sınava hazırlık ürünlerinden farkı nedir?,"Vitamin LGS’nin diğer sınava hazırlık ürünlerinden en önemli farkı, akıllı sistemiyle öğrencinin çözdüğü sorulara göre zorluk yaşadığı becerileri tespit edip o becerileri geliştirmeye yönelik yeni sorular ve konu anlatımlarıyla öğrencinin eksiklerini tamamlamasını sağlamasıdır.Ayrıca basılı olarak sunulan kaynakların tamamı Vitamin LGS’nin akıllı sistemiyle uyumludur. Vitamin LGS öğrencinin hem dijitalde hem de basılı kaynaklarda çözdüğü sorularla ilgili detaylı raporlar sunar. Öğrenci, bu raporlar sayesinde hedefine ne kadar yaklaştığını görerek ilerler."
https://www.vitaminegitim.com/ortaokul/sss.jsp,Vitamin LGS’nin basılı içerikleri nelerdir? ,"Vitamin LGS’de standart soru bankalarından farklı olarak yönlendirici 14 Adım Kartı bulunur. Matematik, Fen Bilimleri ve Türkçe dersleri için hazırlanan Adım Kartları, kişiye özel yönlendirmeler yaparak öğrencinin konuları adım adım tamamlamasını sağlar. Vitamin LGS’de öğrencilerin sorumlu olduğu 6 derse ait toplam 6 Soru Bankası bulunmaktadır. Her bir kitapta yaklaşık 500 soru yer alır. Soru Bankaları, öğrencinin LGS’de karşılaşayacağı farklı tipte soruların tamamını içerir. Bu kitaplarda yer alan testler Vitamin LGS ile uyumludur.Matematik, Fen Bilimleri, Türkçe ve T.C İnkılap Tarihi ve Atatürkçülük derslerinden olmak üzere toplam 4 Ders Denemesi kitabı bulunmaktadır. Bu kitaplarda Matematik, Fen Bilimleri ve Türkçe derslerinin her birinde 12 Ders Denemesi yer alırken T.C İnkılap Tarihi ve Atatürkçülük dersinde 20 Ders Denemesi vardır. Her bir dersteki son 6 Ders Denemesi tüm senenin konularını içerir. Kamp Kitapları, Yarıyıl Kampı ve Yıl Sonu Kampı olmak üzere iki kitaptan oluşmaktadır. Kamp Kitapları, öğrencinin belirlenen kamp gününe kadar işlenmiş tüm konularda genel tekrar yapmasını amaçlarAyrıca basılı kaynaklar içerisinde ek olarak 3 tam kapsamlı Deneme Sınavı daha yer alır. Bu sınavlar, öğrencinin gerçek sınav deneyimi yaşamasını ve sınav öncesinde eksiklerini görmesini sağlar. "
https://www.vitaminegitim.com/ortaokul/sss.jsp, Vitamin LGS Süper Set’te bulunan “Adım Kartları Seti” Nedir?,"Vitamin LGS’de “Adım”; öğrencinin sırasıyla tamamlaması gereken beceri temelli sorulardan, eksiklerini tamamlayabileceği konu anlatımlarından ve telafi sorularından oluşan konu bölümleridir. “Adımlar”daki sorular; derslerin yapısına göre konulara ait kazanımlar, kazanım bileşenleri, soruların çözülmesi için gereken bilgi ve beceriler ile bilişsel seviyeler gibi özelliklerin değerlendirilmesi ve bölümlere ayrılmasıyla oluşturulmuştur.Vitamin LGS Adım Kartları Seti, Vitamin LGS dijitaldeki “Adım” sorularının basılı olarak sunulduğu bir kaynaktır. Adım Kartları Seti, standart soru bankalarından farklı olarak öğrenciyi her bir soruya verdiği cevaba göre yönlendirir. Öğrenci yanlış yaptıysa o soruda kazanması gereken beceri için o soru ile aynı tipte bir soruya, doğru yaptıysa yeni bir soruya geçer. Böylece öğrenci, adım adım ilerleyerek kazanması gereken becerileri edinir. Adım Kartları Seti, kâğıt üzerinde soru çözmenin kritik olduğu Matematik, Fen Bilimleri ve Türkçe dersleri için hazırlanmıştır. Adım Kartları Seti’nde “Adım”lardaki temel ve alternatif sorular yer almaktadır.  Vitamin LGS dijital ürün veya cep uygulamasıyla birlikte kullanılan Adım Kartları Seti, dijital üründe öğrencinin yaşadığı kişiselleştirilmiş çalışma sisteminin aynı şekilde devam ettirilmesine olanak sağlar."
https://www.vitaminegitim.com/ortaokul/sss.jsp,"Öğretmenlerin birikimi, anlatımı ve sunulan içerik güvenilir mi?","Vitamin LGS, alanında uzman eğitimcilerden oluşan kadrosuyla Sebit tarafından en yenilikçi eğitim yaklașımları analiz edilerek hazırlanmıştır. Bununla birlikte, öğretmenlerimizin Türkiye’nin lider eğitim şirketi Sebit bünyesinde çalışmaları da yeterince önemli bir referanstır."
