source,concept,description
https://www.hizligo.com/sss,HIZLIGO nedir?,"HIZLIGO; anlam kaybı yaşamadan, okuma hızını 2 katına kadar çıkarmanı sağlayan online hızlı okuma platformudur. HIZLIGO, göze nasıl bakması, nasıl kayması ve nasıl okuması gerektiğini öğretir; sana okuma ritmi kazandırırken aynı zamanda dikkat ve konsantrasyonunu artırır. Böylece, okuma hızını bilimsel yöntemlerle geliştirerek, çok daha kısa sürelerde çok daha fazla sayıda metni/dokümanı/kitabı anlayarak okumanı sağlar. "
https://www.hizligo.com/sss,"HIZLIGO, okuma hızımı artırmak dışında fayda sağlar mı?","Günümüz koşullarında aynı anda dikkatimizi çeken sayısız uyarana maruz kalmaktayız. Birçok farklı kaynaktan gelen bu farklı uyaranlara uzun süre maruz kalmaksa dikkat dağınıklığına yol açmaktadır. Bu nedenle, yaşları fark etmeksizin herkesin okuduğunu anlayabilmesi için odaklanma (yani dikkatini bir noktaya verebilme) ve konsantrasyon (yani odaklanmanın devam etme süresi) becerileri edinmeye ihtiyacı vardır.HIZLIGO, okuma hızını artırırken, özel olarak geliştirilmiş egzersizlerle dikkat ve konsantrasyonunu da artırır. Bu nedenle odaklanma, konsantrasyon ve dikkat üzerine hazırlanmış egzersizler Hızlıgo içinde ayrı bir yer tutmaktadır.Gözün çevresinde yer alan kasların düzenli egzersizlerle güçlendirilmesi ve esnekliğinin artırılması görme kalitesini yükselteceği gibi, görmede zamanla meydana gelen gerilemeleri de önlemeye yardımcı olacaktır. Düzenli fiziksel aktivitenin bedenimizi koruması ve beden sağlığımızın yanı sıra  ruh sağlımıza olumlu katkıları olması gibi, göz egzersizlerinin de göz sağlığı ve görme üzerinde olumlu etkileri vardır. Bu nedenle HIZLIGO’nun, dengeli bir biçimde ve uygun sürelerde sunduğu göz egzersizleri, göz sağlığını koruyucu yönde geliştirilmiştir."
https://www.hizligo.com/sss,Hızlı okurken normalde olduğu gibi okuduğumu tam olarak anlayabilir miyim? ,"Hızlı okuma eğitimi aldığında, normal okurken anladığından daha iyi anladığını göreceksin çünkü okuma hızımız zihnimizin hızına oranla çok “yavaş”tır. “Yavaş” okuduğumuzda, yani zihnimizin performansının çok altında bir hızla okuduğumuzda, zihnimiz bu yavaşlıktan doğan boşlukları başka şeyler düşünerek doldurur. Sen de okurken sıklıkla dikkatinin dağıldığını, gözün okuduğu hâlde hiçbir şey anlamadığını fark etmişsindir. İşte bu dikkat dağılmasının en önemli nedenlerinden biri “yavaş” okumaktır. HIZLIGO’yla okuma hızın arttıkça zihnin dağılmak için daha az fırsat bulacağından, dikkatini daha iyi toplayabilecek, okuduklarını daha iyi anlayacak, bir süre sonra yeni hızının artık senin “normal” hızın haline geldiğini göreceksin. HIZLIGO’da yer alan odaklanma çalışmaları da dikkat ve odaklanma becerini geliştirip konsantrasyon süreni artıracağından, okurken daha iyi anlamana katkıda bulunacaktır."
https://www.hizligo.com/sss,HIZLIGO kimler içindir?,"HIZLIGO, 5. sınıftan başlayarak tüm öğrenim seviyesindeki öğrenciler, akademisyenler, profesyoneller ve genel okuyucular olmak üzere; okuma hızını artırmak, bunu, göz sağlığını koruyarak yapmak, aynı zamanda dikkat ve konsantrasyon becerilerini geliştirmek isteyen herkes içindir. "
https://www.hizligo.com/sss,HIZLIGO okuma hızımı nasıl artıracak?,"HIZLIGO’da, içlerinde 2008 Türkiye hızlı okuma şampiyonunun da bulunduğu uzman bir ekip tarafından hazırlanan egzersizler, yaşına, okuma hızına ve çalışma düzenine uygun bir şekilde günlük bir eğitime dönüştürülür. Bu eğitim; göze nasıl bakması, nasıl kayması ve nasıl okuması gerektiğini öğretir, sana okuma ritmi kazandırır, dikkatini ve konsantrasyonunu artırır.HIZLIGO’da her gün düzenli olarak 20 dakika çalıştığında, kısa sürede okuma hızındaki artışı hissedersin. Düzenli kullandığında yeni hızın, senin normal okuma hızın hâline gelecektir."
https://www.hizligo.com/sss,Okuma hızımı artırmak için yapmam gereken nedir?,"HIZLIGO’yla okuma hızını artırmak için her gün düzenli olarak 20 dakikalık çalışmayla günlük eğitimini tamamlamalısın. Yani tek yapman gereken, “Eğitime Başla!”maktır.                  "
https://www.hizligo.com/sss,HIZLIGO’da neler var?,"HIZLIGO’da; sana özel hazırlanan ve yaklaşık 20 dakika süren günlük eğitim dışında, kendi istediğin sıklıkta çalışabilmen için egzersizler, gelişimini takip edebileceğin hız testi ve raporlamalar, hızlı okumayla ilgili bilgini artıracak, hızlı okumanı engelleyen davranışlarını ve tutumunu değiştirmene yardımcı olacak videolar vardır.                "
https://www.hizligo.com/sss,HIZLIGO nasıl bana özel bir eğitim sunuyor?,"HIZLIGO seni tanır, sana uyar ve gelişimini izler.  Seni Tanır ve sana özel bir eğitim planı oluşturur. Metinleri yaşına ve/veya sınıf seviyene uygun olarak belirler. Sisteme ilk girişinden başlamak üzere okuma hızını sürekli ölçerek mevcut durumunu tespit eder. Süreç içerisinde egzersizlerdeki performansına göre eğitimini yeniden planlar.  Sana Uyar ve HIZLIGO’daki eğitim sürecini senin okuma hızına ve çalışma düzenine göre şekillendirir. Düzenli kullanımda, egzersizlerin zorluk dereceleri ve çeşitliliği artar. Gelişimini İzler, egzersizler ve sınavlarla okuma hızını ve anlama düzeyini sürekli değerlendirir, gelişimini kesintisiz takip eder ve basit grafiklerle göstererek okuma hızındaki ilerlemeyi fark etmeni sağlar.              "
https://www.hizligo.com/sss,HIZLIGO’nun faydaları nelerdir?,"• Ders çalışırken, sınava hazırlanırken ve sınav esnasında soru çözerken okuma ve anlama hızının artmasına yardımcı olur.  • Gözün nasıl bakması, satır üzerinde nasıl kayması ve nasıl okuması gerektiğini öğrenmesini sağlar; sana okuma ritmi kazandırır; dikkat ve konsantrasyonunu artırır.• Okuma hızını bilimsel yöntemlerle geliştirerek çok daha kısa sürelerde çok daha fazla sayıda metni/dokümanı/kitabı anlayarak okumanı sağlar.• Okuma hızını ve anlama düzeyini değerlendirir, okuma hızındaki gelişimi fark etmeni sağlar.• Basit grafiklerle gelişimini sürekli takip etmeni sağlar.• Tablet uyumlu özelliğiyle, zaman ve mekân bağımsız çalışmana olanak tanır.• ALES, TUS, KPSS, TYT ve LGS gibi paragraf sorularının çok olduğu sınavlarda zaman avantajı elde etmeni sağlar.       "
https://www.hizligo.com/sss,“Hızlıgo Hızlı Okuma Temel Eğitim Sertifika Programı” nedir?,"Her adımı birbirinden farklı eğitimlerden oluşan ve adımlarda ilerledikçe egzersiz çeşitliliği artan 36 adımlık, sertifikalı hızlı okuma eğitim programıdır. Adım eğitimlerinin içerisindeki egzersizlerin zorluk dereceleri kullanıcının o egzersizdeki performansına göre değişiklik göstermektedir.               Düzenli kullanımda anlayarak okuma hızını artırmak ve dikkat, konsantrasyon ve odaklanma becerilerini geliştirmek programın temel amacıdır. Hedeflediğin hıza ulaşman ve bunu yaparken de motivasyonlu bir şekilde çalışabilmen amacıyla Hızlıgo’da adım adım ilerleyebileceğin kişiselleşen bir eğitim programı sunulmaktadır."
https://www.hizligo.com/sss,“Hızlıgo Hızlı Okuma Temel Eğitim Sertifikası”nı nasıl alabilirim?,“Hızlıgo Hızlı Okuma Temel Eğitim Sertifikası”nı alabilmek için 36 adımdan oluşan sertifika programını tamamlamalısın. Sonrasında sana özel hazırlanan online katılım sertifikasını Hızlıgo’dan indirebilirsin.               
https://www.hizligo.com/sss,“Hız Koruma Programı” nedir?,Göz kaslarının gerilememesi ve okuma alışkanlıklarını kaybetmemek için 6 adımlık eğitim programıdır. Okuma hızını korumak ya da artırmak için bu 6 adımlık programı istediğin kadar tekrar edebilirsin.               
