source,concept,description
https://ders.eba.gov.tr/yardim-sss/,EBA Destek Noktası nedir?,"EBA Destek Noktası, eğitimin uzaktan yapıldığı COVID-19 salgın sürecinde, evinde bilgisayar ve internet erişimi bulunmayan öğrencilerin EBA’ya erişimini sağlamak için okul/kurumlarda oluşturulan alanlardır."
https://ders.eba.gov.tr/yardim-sss/,EBA Destek Noktası’nı kimler kullanabilir?,"EBA Destek Noktası, evinde bilgisayar ve internet erişimi bulunmadığı okul idarele- rince tespit edilen 1. sınıftan 12. sınıfa kadar zorunlu eğitim kapsamındaki tüm öğrenciler tarafından kullanılabilir."
https://ders.eba.gov.tr/yardim-sss/,Bana en yakın EBA Destek Noktasını nasıl bulabilirim?,"Yaşadığın yerdeki sana en yakın EBA Destek Noktası’nı, ‘http://ebadesteknoktasi.meb.gov.tr/’ adresindeki sorgulama ekranından bulabilirsin.EBA Destek Noktası, eğitimin uzaktan yapıldığı COVID-19 salgın sürecinde, evinde bilgisayar ve internet erişimi bulunmayan öğrencilerin EBA’ya erişimini sağlamak için okul/kurumlarda oluşturulan alanlardır."
https://ders.eba.gov.tr/yardim-sss/,EBA Destek Noktası’na nasıl müracaat edebilirim?,Evinde cihaz ve internetin yoksa okuluna bilgi vermelisin. Okulunun sana verdiği “Bilgilendirme Formu ve Taahhütname”yi veline imzalatarak okuluna başvurabilirsin.
https://ders.eba.gov.tr/yardim-sss/,EBA Destek Noktası’nda nelere dikkat etmeliyim?,"EBA Destek Noktası’nda maske, sosyal mesafe ve hijyen kurallarına uymalısın.
EBA Destek Noktası’na yiyecek ve içecek getirmemelisin.
EBA Destek Noktası’nda arkadaşlarınla yakın temas içeren oyunlar oynamamalısın."
https://ders.eba.gov.tr/yardim-sss/,EBA Destek Noktası’nı hangi amaçlar için kullanabilirim?,"Uzaktan eğitim ihtiyacını gidermek için EBA platformu kullanımları, atanmış canlı derslere katılım veya TRT EBA kanalı yayınlarını takip etmek için EBA Destek Noktası kullanılabilir."
https://ders.eba.gov.tr/yardim-sss/,EBA Destek Noktası’nı günde kaç saat kullanabilirim?,"Öğrencilerin EBA Destek Noktası’nda bulunan bilgisayarları kullanım süreleri, bir canlı ders süresinden az olmamak kaydıyla en fazla 2 saat olmalıdır."
https://ders.eba.gov.tr/yardim-sss/,EBA Destek Noktası hangi saatler arasında açıktır?,"EBA Destek Noktası; hafta içi 09.00-18.00, hafta sonu 10.00-18.00 saatleri arasında açık olacaktır."
https://ders.eba.gov.tr/yardim-sss/,Canlı derse ne zaman katılabilirim?,"Canlı dersinize, dersinizin başlangıç saati geldiğinde katılabilirsiniz. “Katıl” düğmesi, dersiniz aktif olduğu sürece görünecektir. Süre dolmadığı sürece, geç kalsanız bile dersinize katılabilirsiniz. Ancak dersin süresi bittiğinde derse katılamazsınız."
https://ders.eba.gov.tr/yardim-sss/,Canlı derse katıldım fakat öğretmenim gelmedi. Ne yapmalıyım?,"Bu durumda, “Derse Katıl” düğmesine tıkladıktan sonra “EBA Canlı Ders” ekranında öğretmeninizin derse gelmesini beklemenizi tavsiye ederiz çünkü öğretmeniniz geç de olsa derse katılabilir. Öğretmeniniz derse geldiğinde bu ekranda dersiniz kendiliğinden başlayacaktır."
https://ders.eba.gov.tr/yardim-sss/,Mobil cihazlarımdan canlı derslerime erişebilir miyim?,"Evet, erişebilirsiniz. iOS ve Android işletim sistemi olan cihazlarda, EBA Cep Uygulaması’ndaki “Canlı Dersler” sayfasından derslerinizi yapabilirsiniz."
https://ders.eba.gov.tr/yardim-sss/,"""Sayfam"" alanını nasıl kullanılırım?",
https://ders.eba.gov.tr/yardim-sss/,Nasıl ileti paylaşırım?,
https://ders.eba.gov.tr/yardim-sss/,Paylaştığım iletiyi düzenleyebilir miyim?,"Paylaştığın iletiyi düzenleyemezsin ancak dilersen paylaştığın iletinin sağ üst köşesinde bulunan menüden “Sil”e tıklayarak silebilirsin. Sildiğin iletiler, aynı zamanda paylaştığın grup sayfalarında da silinir."
https://ders.eba.gov.tr/yardim-sss/,Favorilerime eklediğim iletileri nereden görebilirim?,"""Sayfam""ın sağ üst köşesinde bulunan filtreden favorilerini seçip sadece favori paylaşımlarını görüntüleyebilirsin."
https://ders.eba.gov.tr/yardim-sss/,Tartışmalara nasıl katılabilirim?,"Tartışma oluşturulduğunda, grubunun sayfasına düşer, ""Fikrini Yaz""a tıklayarak fikirlerini paylaşmaya başlayabilir ya da dosya ekleyebilirsin. Ayrıca ""Takvim""in altındaki alanda, tüm tartışmaları görebilirsin. Dilersen sen de bir tartışma oluşturup gruplarınla paylaşabilirsin."
https://ders.eba.gov.tr/yardim-sss/,Nasıl oylama oluştururum?,
https://ders.eba.gov.tr/yardim-sss/,Oylama sonuçlarına nerden ulaşırım?,"Oylama iletisi üzerinden oylama sonuçlarını anlık olarak görüntüleyebilirsin. Ayrıca, oylamayı paylaştığın gruptaki oy veren üyeler de oylama sonuçlarını takip edebilirler."
https://ders.eba.gov.tr/yardim-sss/,"""Bekleyen Çalışmaların"" bölümü nedir?","Bu bölümde, öğretmenlerinin sana gönderdiği çalışmaları görebilirsin. Çalışmalarını tamamlamayı unutmaman için bitiş tarihi en yakın olanları listenin üst sıralarına koyduk. Bu listede görünmeyen başka çalışmaların da olabilir. Bu nedenle, çalışmalar bölümünü sık sık kontrol etmeyi unutmamalısın."
https://ders.eba.gov.tr/yardim-sss/,Bir gruba nasıl üye olabilirim?,"Ana Menüden, “Gruplar”a tıklayıp “Grupları Keşfet” sekmesine geçerek katılmak istediğin grupları inceleyebilrsin."
https://ders.eba.gov.tr/yardim-sss/,"""Grup"" sayfasına nasıl gidebilirim?","Ana Menüden, “Gruplar”a tıklayıp oradan “Gruplar” sekmesine gitmelisin. Yapılan paylaşımlar üzerindeki grup ismine tıklayarak da grup sayfasına gidebilirsin. Grupta yaptığın tüm paylaşımları, “Ana Sayfa”nın yanı sıra bu alandan da görebilirsin. Ayrıca bu sayfadan gruplara üyelik durumunu da takip edebilirsin. Sayfanın sağ üst tarafındaki menüden, üye olmadığın guplara üye olabilirsin. “Paylaşımlar” a tıklayarak grupla ilgili yapılan paylaşımları da görüntüleyebilirsin. Grupta yer alan üyeleri ise göremezsin."
https://ders.eba.gov.tr/yardim-sss/,"""Ana Sayfa""da ""Takvimim""de neleri görebilirim?","""Duvar""da sana gönderilmiş olan etkinlikleri, ödevleri; yazılı sınavlarını takvimde görüp takip edebilirsin."
https://ders.eba.gov.tr/yardim-sss/,"""EBA Portfolyo"" nedir?","EBA Porftolyo Yönetimi; öğrencilerin akademik başarılarının yanı sıra katıldıkları projeler ve ders dışı sosyal aktiviteler bilgilerinin biriktirilerek sergilendiği, benzersiz bir dijital bellek özelliğidir."
https://ders.eba.gov.tr/yardim-sss/,"""EBA Portfolyo""da bulunan alanlar nelerdir?","Öğrenci Künyesi:
Öğrencinin profil fotoğrafını güncelleyebildiğin, ""Sayfam"" alanında yaptığı paylaşımların, dâhil olduğu grupların, EBA sistemi üzerinde yaptığı aksiyonlara göre topladığı puanların, kazandığı armaların ve istatistiklerinin sergilendiği alandır.
Akademik Durumu:
Öğrencinin akademik performansının sergilendiği alandır.
Projeler Alanı:
Öğrencinin yer aldığı sosyal sorumluluk ya da ders projelerinin sergilendiği alandır.
Katılımları ve Başarıları Alanı:
Öğrencinin sertifika ve katılım belgelerinin, başarılarının, katıldığı etkinliklerin sergilendiği alandır.
Öğretmenin Görüşleri ve Seçtikleri Alanı:
Öğretmenlerinin öğrenci hakkında görüş yazabildiği ve öğrencinin tartışma alanında yaptığı yorumlardan beğenilenleri paylaştığı EBA Portfolyo alanıdır."
https://ders.eba.gov.tr/yardim-sss/,"""EBA Portfolyo""yu kimler görüntüleyebilir?","Öğretmenler, yöneticiler görüntüleyebilir. Öğrenci de “Ayarlar” sekmesinde “Görünüm”ü açtığında, kendi şubesindeki arkadaşlarına da görünür hâle gelir."
https://ders.eba.gov.tr/yardim-sss/,"""EBA Portfolyo""daki eklenmiş olan bilgileri kimler düzenleyebilir?","Öğretmenler ve yöneticiler EBA Portfolyo'da eklenmiş olan bilgilerde düzenleme yapabilir. Öğrencinin eklediği bir belge, başarı, proje ya da etkinliği, öğretmen ya da yöneticilerden biri düzenlerse, başka bir öğretmen tekrar düzenleyemez. Öğrenci ise bilginin sadece gösterimini açıp kapatabilir."
https://ders.eba.gov.tr/yardim-sss/,Arma ve puan nasıl puan kazanılır?,"Öğrenci; EBA Portfolyo'suna yaptığı katkıyla, ""Duvar"" alanında yaptığı paylaşım ve etkileşimlerle puan kazanabildiği gibi; sistemde soru çözdüğünde ve ödevlerini tamamladığında da puan kazanabilir."
https://ders.eba.gov.tr/yardim-sss/,“Dersler” sayfası nedir?,"""Dersler"" sayfası, EBA’da yer alan ders içeriklerinin yer aldığı bölümdür. Bu bölümde, bütün sınıf seviyelerine ve derslere ait içerikler, MEB müfredat yapısına uygun bir şekilde listelenir. Seçilen sınıf seviyesindeki bir dersin sayfasında; dersin üniteleri, kitabı, kütüphane içerikleri ve ünite testleri yer alır. Ünitelerin içinde ise konuları ve alt konuları görebilirsin. Dilersen ""Tüm Dersler"" düğmesine tıklayarak farklı okul türlerine ait ders içeriklerine de erişebilirsin."
https://ders.eba.gov.tr/yardim-sss/,"""Sıralı Anlatım"" nedir?","Sıralı anlatımda, bir alt konuya ait içerikler öğrenme sürecine uygun bir şekilde sunulur. Konu anlatımları, alıştırmalar, özet dokümanları ve tarama testlerinin yer aldığı sıralı anlatımları takip ederek konu hakkındaki bilgilerini pekiştirebilirsin."
https://ders.eba.gov.tr/yardim-sss/,"""Kütüphane"" sayfası nedir?","Kütüphane sayfasında, farklı kategorilere ait binlerce içerik yer almaktadır. Hem eğitsel hem de genel kültür içeriklerinin yer aldığı bu bölümde video, ses dosyası, dergi, etkileşimli kitap ve uygulama gibi farklı içerik tiplerine ulaşabilirsin."
https://ders.eba.gov.tr/yardim-sss/,"""Çalışmalarım"" sayfası nedir?",Çalışmalarım sayfasında öğretmeninin gönderdiği çalışmaları görebilirsin. Çalışmalarını tarihine ve durumuna göre filtreleyerek geçmiş ya da devam eden çalışmalarını inceleyebilirsin.
https://ders.eba.gov.tr/yardim-sss/,"""Dijital Çalışmalar"" nedir?","EBA içerisindeki dijital içeriklerden oluşan çalışmalardır. Bir dijital çalışma, konu anlatımı, alıştırma, tarama testleri gibi farklı eğitsel içeriklerden oluşabilir. Öğretmenlerin, EBA’da yer alan içerikleri sana pekiştirmen için yollayabilir."
https://ders.eba.gov.tr/yardim-sss/,Sözlü ve Yazılı Çalışmalar Nedir?,"“Sözlü ve Yazılı Çalışmalar”, öğretmenlerinizin gönderdiği çalışmalara kendi dokümanlarınızı yükleyebileceğiniz bir çalışma ortamıdır."
https://ders.eba.gov.tr/yardim-sss/,Öğretmenlerimin Gönderdiği Sözlü ve Yazılı Çalışmalara Nasıl Ulaşabilirim?,Öğretmenlerinin gönderdiği çalışmalara “Sayfam” alanından veya “Sözlü ve Yazılı Çalışmalar” sayfasından ulaşabilirsin. Öğretmenlerin yeni çalışma gönderdiğinde bu sana bildirim olarak da iletilecektir.
https://ders.eba.gov.tr/yardim-sss/,Çalışmalara Nasıl Doküman Yükleyebilirim?,Gönderilen çalışmalara öğretmeninin belirlediği başlangıç tarihinde tıklayarak ulaşabilirsin. Açılan sayfada öğretmeninin çalışmayla ilgili açıklaması ve gönderdiği çalışma dokümanı yer alır. Açıklamaya ve gönderilen dokümana göre çalışmanı tamamlayıp cevaplarının olduğu dokümanı süresi bitmeden önce “Dosya Ekle” seçeneğinden yükleyebilirsin. Yükleme işlemini tamamladığında öğretmenin gönderdiğin dokümanı kendi sayfasında görebilecektir. Bir çalışmaya en fazla 1 adet doküman yüklenebilir ve bu dokümanın boyutu en fazla 50 MB olabilir.
https://ders.eba.gov.tr/yardim-sss/,Çalışmalarımla İlgili Notlarımı Nereden Görebilirim?,Gönderdiğin çalışmaları öğretmenin değerlendirdiğinde “Sözlü ve Yazılı Çalışmalar” sayfasında perfomansını görebilirsin. Öğretmenin notları yayımladığında bu sana bildirim olarak iletilecektir. Öğretmeninin verdiği puanları detaylı olarak görmek için ilgili çalışmanın “İşlemler” menüsündeki “Rapor” düğmesine tıklamalısın. Açılan sayfada öğretmeninin verdiği puanları ve çalışmanla ilgili yorumlarını görebilirsin.
https://ders.eba.gov.tr/yardim-sss/,"""Sınavlar"" alanı nedir?","EBA içerisinde yer alan sınav, test ve alıştırma dokümanlarına bu alandan ulaşabilirsin. Farklı derslere ve sınıflara ait alt konu, konu ve ünite seviyelerinde testlerin yer aldığı sınavlar bölümünde, pekiştirmek istediğin konulara ait sınavları çözebilirsin."
https://ders.eba.gov.tr/yardim-sss/,EBA şifremi nasıl oluştururum?,İki farklı şekilde şifre oluşturabilirsin.
https://ders.eba.gov.tr/yardim-sss/,Öğrenci olarak EBA’ya nasıl giriş yapabilirim?,"""EBA Giriş"" ekranında Öğrenci → EBA yolunu izle. ""EBA Giriş"" ekranına yönlendirileceksin. Açık Öğretim öğrencisiysen Öğrenci → Açık Öğretim yolunu izle."
https://ders.eba.gov.tr/yardim-sss/,Üniversite öğrencisi olarak EBA’ya nasıl giriş yapabilirim?,İlahiyat ve Eğitim Bilimleri Fakültelerinde okuyan bir öğrenciysen EBA’ya e-Devlet bilgilerinle giriş yapabilirsin.
https://ders.eba.gov.tr/yardim-sss/,"EBA şifremi unuttum, ne yapmalıyım?","""EBA Giriş"" ekranında Öğrenci → EBA yolunu izle.
Açılan ekranda yer alan “Şifremi Unuttum” linkine tıkla.
TC Kimlik Numaranı gir.
Bir doğrulama yöntemi seç.
e-Postayı seçtiysen:
Sisteme kayıtlı e-posta adresini gir ve “Gönder” butonuna bas (Sisteme kayıtlı e-posta adresin yoksa öğretmeninden veya velinden tek kullanımlık şifre edinerek ve “Öğrenci olarak EBA şifremi nasıl oluştururum” bölümünden yardım alarak şifreni yeniden oluşturabilirsin).
e-Postana gelen doğrulama kodunu gir ve “Gönder” butonuna bas.
Yeni şifreni belirle ve “Kaydet” butonuna tıkla.
Cep telefonunu seçtiysen:
Sisteme kayıtlı cep telefonu numarasını gir ve “Gönder” butonuna bas (Sisteme kayıtlı cep telefonu numaran yoksa öğretmeninden veya velinden tek kullanımlık şifre edinerek ve “Öğrenci olarak EBA şifremi nasıl oluştururum” bölümünden yardım alarak şifreni yeniden oluşturabilirsin).
Cep telefonuna gelen doğrulama kodunu gir ve “Gönder” butonuna bas.
Yeni şifreni belirle ve “Kaydet” butonuna tıkla."
https://ders.eba.gov.tr/yardim-sss/,EBA Destek Noktası'nda öğrencilerin oturma düzenleri nasıl olmalıdır?,"EBA Destek Noktası’nda, öğrenciler arası asgari mesafe şartını aşmamak kaydıyla her 10 metrekareye en fazla 5 kişi düşecek şekilde planlama yapılmalıdır."
https://ders.eba.gov.tr/yardim-sss/,EBA Destek Noktası’na öğretmen ve personel görevlendirmesi yapılacak mı?,"EBA Destek Noktası’nda teknik iş ve işlemleri yürütebilecek en az bir öğretmen ya da teknik personel bulunmalıdır. Görevli personellerin nöbet planlamaları, okul idareleri tarafından yapılacaktır."
https://ders.eba.gov.tr/yardim-sss/,EBA Destek Noktası’nda çalışacak personel için alınması gereken tedbirler nelerdir?,"EBA Destek Noktası’nda görevli öğretmen ve personelin bireysel kullanımına tahsis edilmek üzere siperlik, iş önlüğü ve eldiven bulundurulmalıdır."
