source,concept,description
https://osym.gov.tr/,ÖSYM Aday İşlemleri Sistemi (AİS) şifresi olmayan adaylar  bireysel olarak elektronik ortamda 2023-YKS’ye başvuru yapabilirler mi ?,Evet yapabilirler. Fotoğraflı Türkiye Cumhuriyeti Kimlik Kartı edinmiş olan adaylar (MEB e-Okulsisteminde geçerli eğitim bilgisi bulunması kaydıyla)  e-Devlet şifreleriyle ÖSYM Aday İşlemleriSistemine (AİS) giriş yapabilir ve “e-Devlet İle Kayıt Ol” butonu vasıtasıyla ÖSYM Aday İşlemleriSistemine kayıt olabilirler. “e-Devlet İle Kayıt Ol” butonu vasıtasıyla ÖSYM Aday İşlemleri Sisteminekayıt olduktan sonra AİS şifresi olmaksızın bireysel olarak elektronik ortamda sınava başvurularını yapabilirler.
https://osym.gov.tr/,ÖSYM Başvuru Merkezlerine gitmeden 2023-YKS’ye başvuru yapmak mümkün mü ?,Fotoğraflı Türkiye Cumhuriyeti Kimlik Kartı ve e-Devlet şifresi olan adaylar  başvuru merkezlerinegitmeden ÖSYM Aday İşlemleri Sistemine (AİS) kendileri çevrimiçi kayıt yaptırabilir ve sınavlara başvurularını bireysel olarak elektronik ortamda gerçekleştirebilirler.
https://osym.gov.tr/,ÖSYM Aday İşlemleri Sisteminde (AİS) güncel fotoğrafı olmayan adaylar 2023-YKS’ye başvuru yapabilirler mi ?,Fotoğraflı Türkiye Cumhuriyeti Kimlik Kartı olan adaylar  ÖSYM Aday İşlemleri Sistemindeki (AİS) güncel olmayan fotoğraflarını “Fotoğraf Bilgilerim” bölümündeki “T.C. Kimlik Kartı Fotoğrafımı Kullan” butonundan güncelleyerek başvuru merkezlerine gitmeksizin başvuru yapabilirler.
https://osym.gov.tr/,ÖSYM Mobil uygulamasından 2023-YKS başvurusu yapılabilir mi ?,2023-YKS adayları  ÖSYM Aday İşlemleri Sistemi (AİS) mobil uygulaması üzerinden sınav başvurularını gerçekleştirebilirler.
https://osym.gov.tr/,2023 Yükseköğretim Kurumları Sınavına (2023-YKS) kimler başvurabilir ?,Ortaöğretim kurumlarının (lise veya dengi okullar  açık öğretim liseleri  yurt dışı okulları) son sınıfında olanlar veya bir ortaöğretim kurumundan mezun olanlar sınava başvurabilirler.
https://osym.gov.tr/,2023-YKS Kılavuzuna nasıl ulaşabilirim ?,Kılavuz  ÖSYM’nin http://www.osym.gov.tr internet adresinde DUYURULAR başlığı altında yayımlanmıştır. https://www.osym.gov.tr/TR 25351/2023-yuksekogretim-kurumlari-sinavi-ykskilavuzu.html
https://osym.gov.tr/,2023-YKS’ye başvurumu ne zaman yapabilirim ?,2023-YKS’ye başvurular 08-23 Mart 2023 tarihleri arasındadır. Bu tarihlerde başvurunuzu yapabilirsiniz.
https://osym.gov.tr/,2023-YKS’ye başvuru işlemi nereden yapılır ?,Başvuru  ÖSYM Aday İşlemleri Sisteminden (https://ais.osym.gov.tr) bireysel olarak internet aracılığıyla veya ÖSYM Aday İşlemleri Mobil Uygulaması aracılığıyla veya ÖSYM Başvuru Merkezlerinin birinden yapılabilir.
https://osym.gov.tr/,2023-YKS’ye başvuruyu  bireysel olarak ÖSYM Aday İşlemleri Sisteminden (AİS) nasıl yapabilirim ?,Fotoğraflı Türkiye Cumhuriyeti Kimlik Kartı edinmiş olan adaylar veya ÖSYM Aday İşlemleri Sisteminde (AİS) geçerli fotoğrafı bulunan adaylar  T.C. Kimlik Numarası ve şifreleri veya e-Devlet şifreleriyle ÖSYM Aday İşlemleri Sistemine (https://ais.osym.gov.tr) giriş yaparak bireysel olarak başvuru yapabilirler.
https://osym.gov.tr/,ÖSYM Başvuru Merkezlerinin adreslerini nerede bulabilirim ?,ÖSYM Başvuru merkezlerinin adreslerine  2023-YKS Kılavuz ve başvuru bilgilerinin yer aldığı (https://www.osym.gov.tr/TR 25351/2023-yuksekogretim-kurumlari-sinavi-yks-kilavuzu.html) adresinden ulaşılabilir.
