source,concept,description
https://www.yok.gov.tr/iletisim/sss/1/1,ÖSYS'de özürlü öğrenci kontenjanı var mıdır?,"Yurdumuzda bulunan yükseköğretim kurumlarına giriş, 2547 sayılı Yükseköğretim Kanununun 2880 sayılı Kanunla değişik 45. maddesinde belirtilen ve Öğrenci Seçme ve Yerleştirme Merkezi Başkanlığınca yapılan sınava katılıp başarılı olunduğu takdirde mümkün olabilmektedir. Öğrenci Seçme Sınavlarında özürlülere yönelik yerleştirmelerde özürlü kontenjanı bulunmamaktadır. Yükseköğretim programlarının koşul ve açıklamaları, her yıl hazırlanan ""Yükseköğretim Programları ve Kontenjanları Kılavuzu""nda yayınlanmakta olup, söz konusu kılavuza  http://www.osym.gov.tr"" web sitesinden ulaşarak incelemeniz yararınıza olacaktır."
https://www.yok.gov.tr/iletisim/sss/1/2,Meslek Yüksekokulu öğrencileri programdan faydalanabilecekler mi?,Evet
https://www.yok.gov.tr/iletisim/sss/1/3,Bologna Eşgüdüm Komisyonu ile ilgili hangi bilgileri YÖK'e göndermemiz gerekiyor?,Üniversitenizin Bologna Eşgüdüm Komisyonu başkanı ve üyelerinin isimleri ve iletişim bilgilerini YÖK A.B. ve Uluslararası İlişkiler Birimi'ne resmi yazı yoluyla ulaştırmanız gerekmektedir.
https://www.yok.gov.tr/iletisim/sss/1/4,"Türkiye Bologna Sürecine üye olduğu için, bir T.C vatandaşının Avrupa'da Bologna Sürecine üye diğer ülkelerdeki Yükseköğretim kurumlarından aldığı diplomayı YÖK'ün doğrudan tanıması gerekmez mi?",Hayır. Bologna Süreci doğrudan tanınmayı amaçlayan bir süreç değildir. Sürece dahil her ülkenin diplomaların tanınmasıyla ilgili kendi ulusal prosedürleri vardır ve Türkiye'de de tanınma için YÖK denklik birimi tarafından açıklanan prosedürler geçerlidir. Bologna Sürecine üye olmak bu konuda farklı bir uygulama gerektirmemektedir.
https://www.yok.gov.tr/iletisim/sss/1/5,Erasmus programıyla yurtdışına gitmek istiyorum. Sizden bu konuda bilgi alabilir miyim?,"Erasmus'un da dahil olduğu Avrupa Birliği Eğitim ve Gençlik Programlarının uygulanması kısa adı Ulusal Ajans olan http://www.ua.gov.tr Avrupa Birliği Eğitim ve Gençlik Programları Merkezi Başkanlığı tarafından yürütülmektedir. Bu konuyla ilgili her türlü soru, sorun ve öneriyi kendilerine iletebilirsiniz."
https://www.yok.gov.tr/iletisim/sss/1/6,Üniversitemizdeki BEK (Bologna Eşgüdüm Komisyonu) Komisyonu üyesi değişti. Yeni üyeyi nereye bildirelim?,Üniversitelerdeki BEK üyeleri ile ilgili isim ve irtibat bilgisi değişikliklerini aib@yok.gov.tr adresine bildirebilirsiniz
https://www.yok.gov.tr/iletisim/sss/1/7,Avrupa Üniversiteler Birliği (EUA)'ne üye olmak istiyoruz. Bu konuda bize yardımcı olabilir misiniz?,Bu konuda EUA tarafından üniversitelerden istenen destek mektubu (support letter) üniversitelerin talebi üzerine Başkanlığımız tarafından hazırlanmaktadır.
https://www.yok.gov.tr/iletisim/sss/1/8,Yabancı dil eşdeğerlilik belgemi onaylıyor musunuz?,"Hayır, YÖK yabancı dil eşdeğerlilik belgelerini onaylamıyor. http://www.yok.gov.tr/content/view/709/266/ sayfasından şu ana kadar YÖK tarafından yayınlanan eşdeğerlilik tablolarına ulaşabilirsiniz. Ayrıca bu konu artık ÖSYM'ye devredilmiştir."
https://www.yok.gov.tr/iletisim/sss/1/9,Başvurular şahsimi üniversite aracılığıylamı ?,Başvurular Rektörlükler aracılığıyla yapılmaktadır.
https://www.yok.gov.tr/iletisim/sss/1/10,YÖK'teki işlemlerim ne kadar sürüyor?,"Başvuru evraklarının cevabı, Başkanlığımıza ulaştıktan sonra (Yürütme Kurulu'nun toplanamaması, evraklarda eksiklik olması vb durumlar hariç) en geç 2 hafta içerisinde ilgili üniversiteye gönderilmektedir."
https://www.yok.gov.tr/iletisim/sss/2/1,50d kadrosunda araştırma görevlisiyim. Burstan faydalanabiliyor muyum?,Hayır. 2547 sayılı Kanun'un 33. maddesi uyarınca araştırma görevlisi kadrosunda çalışıyor olmak gerekmektedir.
https://www.yok.gov.tr/iletisim/sss/2/2,YÖK'ün lisansüstü eğitim için belirlemediği üniversitelerden birinden kabul alsak gidebiliyor muyuz?,"Yürütme Kurulu'nun 09.09.2009 tarihli kararında belirtilen ""Yükseköğretim Kurulunca uygun görülen yurtdışındaki üniversitelerden lisansüstü bir programa kesin kabul belgesi sağlamış olmak"" şartını sağlamadığı ancak, ""Bu liste dışındaki bir üniversitenin bölümü için talep yapılması halinde, bu bölümün listeye alınması için gerekli belgelerin talep eden üniversite tarafından hazırlanması ve Kurulumuzca onayı gerekmektedir."" hükmü uyarınca değerlendirilecektir."
https://www.yok.gov.tr/iletisim/sss/2/3,Başvurular ne zaman alınıyor?,Başvurular için belirlenmiş bir tarih aralığı yoktur. İstediğiniz zaman başvurabilirsiniz. Yapılan başvurular YÖK Yürütme Kurulu'nda görüşülmektedir.
https://www.yok.gov.tr/iletisim/sss/2/4,Kabul mektubunun bir formatı varmı?,"Kabul mektubunun; çalışmanın konusu ve yapılacağı tarihi içermesi, antetli ve imzalı olması gerekmektedir."
https://www.yok.gov.tr/iletisim/sss/2/5,Süre uzatımı yapılabiliyormu?,Usul ve esaslarda belirtilen süreler dahilinde uzatma yapılabilir. Belirtilen sürelerden daha fazla uzatma işlemleri rektörlük yetkisindedir.
https://www.yok.gov.tr/iletisim/sss/2/6,Çalışma planının bir formatı varmı?,Çalışma planının belirli bir formatı yoktur.
https://www.yok.gov.tr/iletisim/sss/2/7,Yurt dışında gideceğimiz üniversiteyi kendimiz mi seçiyoruz?,"Evet, gideceğiniz üniversiteyi kendiniz seçmeniz ve kabul almanız gerekmektedir."
https://www.yok.gov.tr/iletisim/sss/2/8,Başvurular ne zaman/ nereye yapılıyor?,"Kontenjanlar açıklandığında, http://www.osym.gov.tr ÖSYM'nin resmi internet sitesi üzerinden başvuruda bulunuluyor. Yerleştirmeler ALES puanına göre yapılıyor."
https://www.yok.gov.tr/iletisim/sss/2/9,Bu bursa başvuru işlemleri için gerekli şartlar nelerdir?,"Kimlerin başvuruda bulunabileceği her yıl açıklanan kılavuzda ilan edilmektedir.Lisans not ortalamanızın 4 üzerinden 2,75 ya da 100 üzerinden en az 70 puan olması gerekmektedir. ALES puanınızın da (istenen puan türünden) en az 70 olması gerekmektedir."
https://www.yok.gov.tr/iletisim/sss/2/10,Bu bursa başvuruda bulunabilmek için yabancı dil şartı var mı?,Dil puanı olmayanlar da bu burstan faydalanma hakkını elde eder.
https://www.yok.gov.tr/iletisim/sss/3/1,Okul tanıma yazısını ne kadar sürede alabilirim?,Okul tanınması ile ilgili dilekçeler resmi süresi (en geç 15 gün) içerisinde cevaplanmaktadır.
