source,concept,description
TQuAD Dataset,el-Hasan b. Muhammed el-Vezzan isimli bilgin avrupa’da nasıl tanınmaktadır ?,Afrikalı Leo
TQuAD Dataset,el-Hasan b. Muhammed el-Vezzan hangi şehirde büyümüştür ?,Fas (Fez) şehrinde
TQuAD Dataset,el-Hasan b. Muhammed el-Vezzan sicilyalı korsanların eline düştüğünde nerelere satılmıştır ?,ilk olarak Napoli’ye daha sonra Roma’ya
TQuAD Dataset,el-Hasan b. Muhammed el-Vezzan kim tarafından vaftiz edilmiştir ?,Papa X. Leo
TQuAD Dataset,el-Hasan b. Muhammed el-Vezzan kaç yılında vaftiz edilmiştir ?,6.1.1520 yılında
TQuAD Dataset,el-Hasan b. Muhammed el-Vezzan hangi isimle vaftiz edilmiştir ?,Giovanni Leo olarak
TQuAD Dataset,el-Hasan b. Muhammed el-Vezzan Afrika kitabını hangi yılda tamamlamıştır ?,1526’da
TQuAD Dataset,el-Hasan b. Muhammed el-Vezzan Tunus’a ne zaman dönmüştür ?,935/1529 yılında
TQuAD Dataset,el-Hasan b. Muhammed el-Vezzan yazar olarak faaliyetlerini nerelerde devam ettirmiştir?,Roma ve Bologna’da
TQuAD Dataset,el-Hasan b. Muhammed el-Vezzan’ın Afrika kitabı kaç bölümden oluşmaktadır ?,9
TQuAD Dataset,el-Hasan b. Muhammed el-Vezzan’ın Afrika kitabının birinci bölümünde ne anlatılmaktadır ?,Afrika’nın ve Afrika halkının genel fiziksel ve iklimsel özelliklerini
TQuAD Dataset,el-Hasan b. Muhammed el-Vezzan’ın Afrika kitabının ikinci bölümünde ne anlatılmaktadır ?,Marrakuş (Marrakesch) bölgesini şehirleriyle ve dağlarıyla ele almaktadır.
TQuAD Dataset,el-Hasan b. Muhammed el-Vezzan’ın Afrika kitabının üçüncğ bölümünde ne anlatılmaktadır ?,Fas’ı
TQuAD Dataset,el-Hasan b. Muhammed el-Vezzan’ın Afrika kitabının dördüncü bölümünde ne anlatılmaktadır ?,Tilimsan’ı
TQuAD Dataset,el-Hasan b. Muhammed el-Vezzan’ın Afrika kitabının beşinci bölümünde ne anlatılmaktadır ?,Tunus’u
TQuAD Dataset,el-Hasan b. Muhammed el-Vezzan’ın Afrika kitabının altıncı bölümünde ne anlatılmaktadır ?,Libya’yı
TQuAD Dataset,el-Hasan b. Muhammed el-Vezzan’ın Afrika kitabının yedinci bölümünde ne anlatılmaktadır ?,Sudan’ı
TQuAD Dataset,el-Hasan b. Muhammed el-Vezzan’ın Afrika kitabının sekizinci bölümünde ne anlatılmaktadır ?,Mısır’ı
TQuAD Dataset,el-Hasan b. Muhammed el-Vezzan’ın Afrika kitabında toplam kaç yer tanıtılmaktadır ?,400
TQuAD Dataset,Giacomo Gastaldi Asya haritasını kaç yılında yayınlamıştır ?,1560
TQuAD Dataset,Hint Moğol imparatorluğu kim tarafıdan kurulmuştur ?,Babür tarafından
TQuAD Dataset,Hint Moğol imparatorluğu kaç yılında kurulmuştur ?,932/1526 yılında
TQuAD Dataset,Denizcilik bilimi zirve noktasına hangi yüzyıllarda erişmiştir ? ,9./15. yüzyılda
TQuAD Dataset,Denizcilik biliminin trigonometrik-astronomik temele dayanan özellikleri ne zaman  öğrenilmiştir ?,10./16. yüzyılın ilk çeyreğinde
TQuAD Dataset,Denizcilik biliminin trigonometrik-astronomik temele dayanan özellikleri ilk olarak kimin eserinden öğrenilmiştir ?,Süleyman el-Mehri’nin eserinden öğrenilmektedir
TQuAD Dataset,Süleyman el-Mehri ye göre Hint Okyanusunda geliştirilen denizcilik bilimi nedir ?,teori ve gözlemden oluşan ve her bir konuya ilişkin sorular alanında değişkenlik gösteren yani gelişim yasasının kurallarına boyun eğen bir disiplindir. 
TQuAD Dataset,Denizcilik bilim dalının esas taşıyıcı direklerinden olan enlem derecelerini elde etme metodu nasıl hesaplanır ?,Kutup Yıldızı’nın veya kutup yakını diğer sabit yıldızların 24 saat içerisinde değişen en yüksek ve en düşük noktalarının ortasında bulunan kutbun yüksekliğinin denizden ölçülmesi ile
TQuAD Dataset,Kutup Yıldızı’nın veya kutup yakını diğer sabit yıldızların 24 saat içerisinde değişen,enlem derecelerini elde etme metodu. 
TQuAD Dataset,üçgenler zinciri metodunu uygulayabilmek için neler gerekir?,"belirli astronomik bilgilerin dışında, trigonometrik kurallara hakim olmak"
TQuAD Dataset,Pusula bilgisi Arap-İslam kültür dairesine ne zaman ulaşmıştır ?,Tam olarak belirlenememekle beraber 3./9. veya 4./10. yüzyıl olması muhtemel bir zaman diliminde 
TQuAD Dataset,Ekvatorun yaklaşık 1 derece kuzeyinde bulunan ve el-Mehri tarafından aralarındaki okyanus ötesi 7 uzaklığı bildirilenler hangi şehirlerdir ?,Sumatra veya Cava 
TQuAD Dataset,Sidi Ali ye göre bir deniz seferi ancak hangi aletler yardımıyla gerçekleştirilebilir ?,"harita, pusula, pergel, usturlap ve quadrant "
TQuAD Dataset,Osmanlı Amirali Sidi Ali nin Kitab el-Muhit eseri kimlerin bir çok kitabını özetlemiştir ?,İbn Macid ve Süleyman el-Mehri’nin
TQuAD Dataset,Molla Şadra kendi sisteminde tüm Yunan felsefesini ne ile birleştirmiştir ?,mistisizmle
TQuAD Dataset,"Fransız arabist Ernest Renan (1823-1892)’ın felsefe alanında Arap-İslam bilimlerinin Avrupa’daki resepsiyonu fenomeninin, hayranlık uyandıran ve hâlâ geçerliliğini koruyabilen eserin ismi nedir?",Averroès et l’Averroisme
TQuAD Dataset,Maimonides ekolünün tamamı Averroes (İbn Rüşd)’un hangi (meşşaiyye) öğretisine sadık kalmıştır.,peripatetik (meşşaiyye)
TQuAD Dataset,Pierre-Maurice-Marie Duhem arap dilindeki astronomi ve astrolojinin Avrupa’yı ne kadar derinden etkilediğini hangi eserinde göstermiştir?,"Le système du monde. Histoire des doctrines cosmologiques de Platon a Copernic isimli anıtsal eserinin 2. , 3. ve 4. ciltlerinde göstermektedir. "
TQuAD Dataset,İspanyol arabist Julian hangi eser  ile Arap etkilerine ilişkin öncü bir çalışmayı ortaya koymuştur?,Ribera y Tarragó La música de las Cantigas 
TQuAD Dataset,The question of an Arabian influence on musical theory adlı eleştiri kime aittir?,Kathleen Schlesinger’in
TQuAD Dataset,Kathleen Schlesingerin eleştiri çalışmasının adı nedir?,The question of an Arabian influence on musical theory 
TQuAD Dataset,Farmer’ın özellikle K. Schlessinger’in eleştirileriyle hesaplaştığı Historical facts for the Arabian musical influence (Londra) isimli çalışması ne zaman yayınlandı?,1930 
TQuAD Dataset,1934 yılında Farmer’ın eski çalışmasına çok sert bir reddiye yayınlayan kim?,Otto Ursprung
TQuAD Dataset,1976 yılında  Farmer’ın sonuçlarının esaslı bir şekilde tartışıldığı ve kısmen de işlendiği  kaç çalışma yayınlandı?,iki 
TQuAD Dataset,Ribera ve Farmer’ın  Arap müzisyenlerin uygulamalarına  hem de etno- müzikolojinin kültür-antropolojik problemlerine çok fazla vakıf olmadıklarını söyleyen kimdir?,Eva Ruth Perkuhn
TQuAD Dataset,İbn Sīnā 11.yüzyılın başında nasıl bir şart koşuyordu?,kağıt üzerinde tespit edilmedikçe öğrenilmemesini 
TQuAD Dataset,tizliği yazıya dökmedeki yenilikler hemen hemen aynı zamanda ve aynı prensip doğrultusunda Hermannus Contractus tarafından  ne zaman avrupaya sokulmuştur?, İbn Sina’nın hayatta olduğu dönemde
TQuAD Dataset,Arapça kaynaklar hangi öğeler  arasında bir bağlantı olduğuna ilişkin ikna edici bir açıklama sunmaktadır,"kiriş/tel, çizgiler ve renkler"
TQuAD Dataset,daha önceleri Yunan müziği tarafından da bilinen sınıflandırma nelerin oluşmasına sebep oldu,gelişmiş formda Orta Çağ yazınında yerini aldı ve orada hiç de azımsanmayacak derecede teorik bakış açısının “konu dairesinin zenginleştirilmesine” sebep oldu.
TQuAD Dataset,Doğa-bilimsel ve felsefi Arapça eserlerin çevirisi zirve noktasına nerede ulaştı?,İspanya’da
TQuAD Dataset,İbn Sīnā’nın Latince Liber sufficientiæ adıyla tanınan eserinin adı nedir?,Kitab eş-Şifa
TQuAD Dataset,Platon sonrası ahlak öğretisinin etkisi nedir?,bedenin dört temel sıvısı ile ud telleri arasında bağlantı kurmaya
TQuAD Dataset,Çok sayıda makale ve monografik çalışmayla 20. yüzyılın ikinci yarısında Arap-İslam tıbbının resepsiyonu ve özümsenmesi konusunda büyük bir hizmet gerçekleştiren kimdir?,Heinrich Schipperges 
TQuAD Dataset,Heinrich Schipperges hangi konuda hizmet gerçekleştirmiştir?,Arap-İslam tıbbının resepsiyonu ve özümsenmesi 
TQuAD Dataset,Heinrich Schipperges  ele alınan  konuyu geniş bir zeminde işleyen  çalışmalarından birini söyleyiniz ?,Ideologie und Historiographie des Arabismus
TQuAD Dataset,Arap ve Arap-İspanyol öncüler tarafından başarılmış olan çizelgelerin gelişimleri ne zaman hız kzanmıştır?,13. yüzyıldan beri
TQuAD Dataset,Schipperges resepsiyonun gerçekleştirme sürecini ne zaman başlatmaktadır?,11. yüzyıldan
TQuAD Dataset,"Constantinus, çevirdiği kitapları kendi adıyla yayınlamasını ne şekilde açıklıyor?","cinsel ilişki, melankoli, unutkanlık, cüzam hakkındaki kitaplar gibi"
TQuAD Dataset,Galen’in çevirisinin adı nedir?,Galeni de oculis liber a Demetrio translatus
TQuAD Dataset,Constantinus’un adını taşıyan eserler nasıl nitelendirilir?,serbest çevirilerdir
TQuAD Dataset,Constantinus’un orijinal kitaplarının yaygın olarak tıp alanında oluştuğu yer neresidir?,Kuzeybatı Afrika’da
TQuAD Dataset,Constantinus’un eserlerinin Avrupa okullarına etkisi ne olmuştur?,hazırlayıcı etkide bulunmuştur.
TQuAD Dataset,"Schippinges, Constantinus’u ne olarak nitelendirmekten kaçınmaktadır?",aşırmacı olarak nitelemekten
TQuAD Dataset,Schippinges eden dolayı Constantinus’u araştırmacı olarak nitelendirmekten kaçınmasına ne sebeptir?,Latince’ye aktardığı eserlerle ilişkisi
TQuAD Dataset,Schippinges’e göre Constantinus’un çalışmaları hangi terim ile nitelendirilemez?,alışıldık terim “resepsiyon” ile
TQuAD Dataset,Schippinges’e göre Constantinus’un çalışmaları nasıl nitelendirilebilir?,bilgi malzemesinin bilinçli bir koadunasyonu
TQuAD Dataset,"Hermann Lehmann, Constantinus’un çevirilerine kendi ismini yazması hakkında düşünmüştür?",üstünlüğünü yüceltmek istemiş olacağından
TQuAD Dataset,Constantinus’un Kartaca’da topladığı Tıp kitaplarını nereye getirdi?,Salerno’ya
TQuAD Dataset,Constantinus’un Arapça tıp kitaplarını Salerno’ya getirme kararı hakkındaki rivayet kaçıncı yüzyılda gelmiştir?,13. yüzyıldan
TQuAD Dataset,Constantinus kendi kültür ödevini kavradıktan sonra nereye dönmüştür?,Kartaca’ya döndü
TQuAD Dataset,Kartaca’ya dönen Constantinus kaç yıl geçirmiştir?,3 yıl
TQuAD Dataset,Constantinus’un da daha sonra üyesi olduğu manastırın adı nedir?,Monte Cassino manastırı
TQuAD Dataset,"Schipperges’a göre , Arap tıbbının ikinci resepsiyon evresinin başlangıç yılı  ne zamandır?",12. yüzyılın ilk yarısında
TQuAD Dataset,"Schipperges’a göre , Arap tıbbının ikinci resepsiyon evresinin başlangıç yeri nerededir?",Toledo’da
TQuAD Dataset,"Ebū ʿAlī İbn Sīnā (Avicenna,1037)’nın Aristoteles külliyatını yeniden işlediği eserin adı nedir?",Kitab eş-Şifa
TQuAD Dataset,Schipperges’e göre Arap tıbbının ikinci resepsiyon evresinin başlangıç yeri neresidir?,Toledo’da
TQuAD Dataset,Arap kitapları 10. Yüzyılda hangi yarımadada tektük görülmeye başlandı?,İber Yarımadası’nda
TQuAD Dataset,Arapça kitapların Latince ‘ye tercümelerinin etkisiyle Toledo’da gerçekleşen resepsiyon hangisidir?,Arapça Aristoteles’in yoğun bir resepsiyonu
TQuAD Dataset,Schipperges resepsiyon dalgasıyla Avrupa’ya ulaşan peripatetik ansiklopediyi nasıl niteler?,yeni Aristoteles
TQuAD Dataset,Schipperges’in yeni Aristoteles olarak nitelediği eser hangisidir?,Kitab eş-Şifa
TQuAD Dataset,Kitab eş-Şifa eserinin yazarı kimdir?,Ebu Ali İbn Sina
TQuAD Dataset,Ebu Ali İbn Sina’nın Aristoteles külliyatını yeniden işlediği eseri hangisidir?,Kitab eş-Şifa
TQuAD Dataset,El-Ḥāvī veya Continens adlı eser kime aittir?,er-Razi’nin
TQuAD Dataset,El-Ḥāvī veya Continens adlı eser ilk defa kim tarafından çevrilmiştir?,Ferec ben Salim
TQuAD Dataset,"Schipperges, Arap tıbbının Avrupa’da resepsiyonunun üçüncü dalgasındaki önemli gördüğü çevirmen kimdir?",Cremonalı Gerhard
TQuAD Dataset,Toledo’daki Arap tıbbının resepsiyonu sürecindeki önemli eserin adı nedir?,Kitab el-kanun fi et-Tıbb
TQuAD Dataset,Kitāb el-Ḳānūn fī eṭ-Ṭıbb (Liber canonis de medicina) isimli eser kime aittir?,Ebu Ali İbn Sina’nın
TQuAD Dataset,: Kitāb el-Ḳānūn fī eṭ-Ṭıbb (Liber canonis de medicina) isimli eser kim tarafından çevrilmiştir?,Cremonalı Gerhard
TQuAD Dataset,Ebū el-Ḳāsım Ḫalef b. ʿAbbās ez-Zehrāvī kim tarafından çevrilmiştir?,Cremonalı Gerhard
TQuAD Dataset,Arap tıbbının Avrupa’da resepsiyonunun üçüncü dalgasının en önemli yazarı kimdir?,Cremonalı Gerhard
TQuAD Dataset,er-Razi’nin muhteşem en son eseri ilk olarak kaç yıl sonra çevrilmiştir?,100 yıl sonra
TQuAD Dataset,er-Razi’nin muhteşem en son eseri 100 yıl sonra kim tarafından çevrilmiştir?,Ferec ben Salim
TQuAD Dataset,Toledo’daki Arap tıbbının resepsiyonu süresince çok önemli olan Kitab el-Kanun fi et-Tıbb eserinin yazarı kimdir?,Ebu Ali İbn Sina’nın
TQuAD Dataset,Cerrahi dalını yüzyıllarca etkileyen eser avrupa’da hangi adla anılmaktadır?,Cirurgia Albucasis
TQuAD Dataset,Tıbba Giriş eseri de kime aittir?,huneyn b. İshak
TQuAD Dataset,Avrupa’daki tıp elkitaplarının en yaygın olan kitabın adı nedir?,Liber introduction in medicinam 
TQuAD Dataset,Liber introduction in medicinam  adlı eserin çevirisini kim yapmıştır?,Toledolu Marcus
TQuAD Dataset,Constantinus Africanus’un Ysagoge lohannicii ad tegni Galieni adıyla anılan çevirisi hangi eserdir?,Tıbba Giriş eseri
